Category label,Category description,Category of illegal content,Contextual Information
TOTAL,All the entries,TOTAL,
Category 1,Animal welfare,STATEMENT_CATEGORY_ANIMAL_WELFARE,
Category 1a,Animal harm,KEYWORD_ANIMAL_HARM,
Category 1b,Unlawful sale of animals,KEYWORD_UNLAWFUL_SALE_ANIMALS,
Category 1c,Not captured by any other category's keyword,KEYWORD_OTHER,
Category 2,Consumer information infringements,STATEMENT_CATEGORY_CONSUMER_INFORMATION,
Category 2a,Insufficient information on traders ,KEYWORD_INSUFFICIENT_INFORMATION_ON_TRADERS,
Category 2b,Non-compliance with pricing regulations  ,KEYWORD_NONCOMPLIANCE_PRICING,
Category 2c,"Hidden advertisement or commercial communication, including by influencers ",KEYWORD_HIDDEN_ADVERTISEMENT,
Category 2d,Misleading information about the characteristics of the goods and services,KEYWORD_MISLEADING_INFO_GOODS_SERVICES,
Category 2e,Misleading information about the consumer’s rights ,KEYWORD_MISLEADING_INFO_CONSUMER_RIGHTS,
Category 2f,Not captured by any other sub-category ,KEYWORD_OTHER,
Category 3,Data protection and privacy violations,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,
Category 3a,Biometric data breach,KEYWORD_BIOMETRIC_DATA_BREACH,
Category 3b,Missing processing ground for data,KEYWORD_MISSING_PROCESSING_GROUND,
Category 3c,Right to be forgotten,KEYWORD_RIGHT_TO_BE_FORGOTTEN,
Category 3d,Data falsification,KEYWORD_DATA_FALSIFICATION,
Category 3e,Not captured by any other category's keyword,KEYWORD_OTHER,"These actions are violations of Discord's Terms of Service that prohibit inactive accounts over a certain period of time, and the creation of an account on behalf of another person and without their permission. "
Category 4,Illegal or harmful speech,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,
Category 4a,Defamation,KEYWORD_DEFAMATION,
Category 4b,Discrimination,KEYWORD_DISCRIMINATION,
Category 4c,Illegal incitement to violence and hatred based on protected characteristics (hate speech) ,KEYWORD_HATE_SPEECH,
Category 4d,Not captured by any other category's keyword,KEYWORD_OTHER,These actions are violations of Discord's Term of Service that prohibit the denial of human atrocities.
Category 5,Intellectual property infringements,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,
Category 5a,Copyright infringements,KEYWORD_COPYRIGHT_INFRINGEMENT,
Category 5b,Design infringements,KEYWORD_DESIGN_INFRINGEMENT,
Category 5c,Geographical indications infringements,KEYWORD_GEOGRAPHIC_INDICATIONS_INFRINGEMENT,
Category 5d,Patent infringements,KEYWORD_PATENT_INFRINGEMENT,
Category 5e,Trade secret infringements,KEYWORD_TRADE_SECRET_INFRINGEMENT,
Category 5f,Trademark infringements,KEYWORD_TRADEMARK_INFRINGEMENT,
Category 5g,Not captured by any other category's keyword,KEYWORD_OTHER,
Category 6,Negative effects on civic discourse or elections,STATEMENT_CATEGORY_NEGATIVE_EFFECTS_ON_CIVIC_DISCOURSE_OR_ELECTIONS,
Category 6a,Violation of EU law relevant to civic discourse or elections ,KEYWORD_VIOLATION_EU_LAW,
Category 6b,Violation of national law relevant to civic discourse or elections ,KEYWORD_VIOLATION_NATIONAL_LAW,
Category 6c,"Misinformation, disinformation, foreign information manipulation and interference ",KEYWORD_MISINFORMATION_DISINFORMATION_DISINFORMATION,
Category 6d,Not captured by any other category's keyword,KEYWORD_OTHER,
Category 7,Non-consensual behaviour,STATEMENT_CATEGORY_NON_CONSENSUAL_BEHAVIOUR,
Category 7a,Non-consensual image sharing,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING,
Category 7b,Non-consensual items containing deepfake or similar technology using a third party's features,KEYWORD_NON_CONSENSUAL_ITEMS_DEEPFAKE,
Category 7c,Online bullying/intimidation,KEYWORD_ONLINE_BULLYING_INTIMIDATION,
Category 7d,Stalking,KEYWORD_STALKING,
Category 7e,Not captured by any other category's keyword,KEYWORD_OTHER,"These actions are violations of Discord's Terms of Service that prohibit the harassment of Discord servers through raids, sexuual harassment, doxxing, as well as the unsolicited sharing of sexual imagery."
