Applicability,"Service 
",Reporting period,Category of illegal content,Description of Other,Scope,Number of orders to act against illegal content received,Number of orders to act against illegal content granted/complied with,Number of items moderated on the basis of an order to act against illegal content,Median time to inform the authority of the receipt of the order to act against illegal content,Median time to give effect to the order to act against illegal content,Number of orders to provide information,Number of orders to provide information granted/complied with,Median time to inform the authority of the receipt of the order to provide information,Median time to give effect to the order to provide information,Contextual information on Median time to give effect to the order to act against illegal content
All,Discord,2024-02-17/2024-12-31,TOTAL,,TOTAL,14,14,14,>.1,25h,24,2,>.1,403h,"Discord measures the time to give effect to an order to act against illegal content from the time that it is received until the time that the submitting authority has either (a) provided a complete and valid order  or request, or (b) withdraws the order or request. The longer median times reported are due to follow up or additional communication to obtain the information necessary to give effect to the order or request."
All,Discord,2024-02-17/2024-12-31,STATEMENT_CATEGORY_ANIMAL_WELFARE,,TOTAL,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_ANIMAL_HARM,,TOTAL,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_UNLAWFUL_SALE_ANIMALS,,TOTAL,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_OTHER,,TOTAL,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,TOTAL,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_INSUFFICIENT_INFORMATION_ON_TRADERS,,TOTAL,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_NONCOMPLIANCE_PRICING,,TOTAL,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_HIDDEN_ADVERTISEMENT,,TOTAL,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_MISLEADING_INFO_GOODS_SERVICES,,TOTAL,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_MISLEADING_INFO_CONSUMER_RIGHTS,,TOTAL,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_OTHER,,TOTAL,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,,TOTAL,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_BIOMETRIC_DATA_BREACH,,TOTAL,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_MISSING_PROCESSING_GROUND,,TOTAL,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_RIGHT_TO_BE_FORGOTTEN,,TOTAL,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_DATA_FALSIFICATION,,TOTAL,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_OTHER,,TOTAL,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,,TOTAL,,,,,,,,,,
