Applicability,"Service 
",Reporting period,Category of illegal content,Description of Other,Number of notices received ,Number of notices received from Trusted flaggers,Number of items moderated ,Number of items moderated (Trusted Flagger notices),Median time to take action (in hours),Median time to take action (Trusted Flaggers notices),Number of actions taken on the basis of the law,Number of actions taken on the basis of the law (Trusted Flaggers notices),Number of actions taken on the basis of the terms and conditions of the service,Number of actions taken on the basis of the terms and conditions of the service (Trusted Flaggers notices)
"Only for providers of hosting services, including online platforms",Discord,,TOTAL,,,0,,0,,0,,0,,0
"Only for providers of hosting services, including online platforms",Discord,2024-02-17/2024-12-31,STATEMENT_CATEGORY_ANIMAL_WELFARE,,,0,,0,,0,,0,,0
"Only for providers of hosting services, including online platforms",Discord,2024-02-17/2024-12-31,KEYWORD_ANIMAL_HARM,,,0,,0,,0,,0,,0
"Only for providers of hosting services, including online platforms",Discord,2024-02-17/2024-12-31,KEYWORD_UNLAWFUL_SALE_ANIMALS,,,0,,0,,0,,0,,0
"Only for providers of hosting services, including online platforms",Discord,2024-02-17/2024-12-31,KEYWORD_OTHER,,,0,,0,,0,,0,,0
"Only for providers of hosting services, including online platforms",Discord,2024-02-17/2024-12-31,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Discord,2024-02-17/2024-12-31,KEYWORD_INSUFFICIENT_INFORMATION_ON_TRADERS,,,0,,0,,0,,0,,0
"Only for providers of hosting services, including online platforms",Discord,2024-02-17/2024-12-31,KEYWORD_NONCOMPLIANCE_PRICING,,,0,,0,,0,,0,,0
"Only for providers of hosting services, including online platforms",Discord,2024-02-17/2024-12-31,KEYWORD_HIDDEN_ADVERTISEMENT,,,0,,0,,0,,0,,0
"Only for providers of hosting services, including online platforms",Discord,2024-02-17/2024-12-31,KEYWORD_MISLEADING_INFO_GOODS_SERVICES,,,0,,0,,0,,0,,0
"Only for providers of hosting services, including online platforms",Discord,2024-02-17/2024-12-31,KEYWORD_MISLEADING_INFO_CONSUMER_RIGHTS,,,0,,0,,0,,0,,0
"Only for providers of hosting services, including online platforms",Discord,2024-02-17/2024-12-31,KEYWORD_OTHER,,,0,,0,,0,,0,,0
"Only for providers of hosting services, including online platforms",Discord,2024-02-17/2024-12-31,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Discord,2024-02-17/2024-12-31,KEYWORD_BIOMETRIC_DATA_BREACH,,,0,,0,,0,,0,,0
"Only for providers of hosting services, including online platforms",Discord,2024-02-17/2024-12-31,KEYWORD_MISSING_PROCESSING_GROUND,,,0,,0,,0,,0,,0
"Only for providers of hosting services, including online platforms",Discord,2024-02-17/2024-12-31,KEYWORD_RIGHT_TO_BE_FORGOTTEN,,,0,,0,,0,,0,,0
"Only for providers of hosting services, including online platforms",Discord,2024-02-17/2024-12-31,KEYWORD_DATA_FALSIFICATION,,,0,,0,,0,,0,,0
"Only for providers of hosting services, including online platforms",Discord,2024-02-17/2024-12-31,KEYWORD_OTHER,,,0,,0,,0,,0,,0
"Only for providers of hosting services, including online platforms",Discord,2024-02-17/2024-12-31,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Discord,2024-02-17/2024-12-31,KEYWORD_DEFAMATION,,,0,,0,,0,,0,,0
"Only for providers of hosting services, including online platforms",Discord,2024-02-17/2024-12-31,KEYWORD_DISCRIMINATION,,,0,,0,,0,,0,,0
"Only for providers of hosting services, including online platforms",Discord,2024-02-17/2024-12-31,KEYWORD_HATE_SPEECH,,"4,382",0,757,0,117,0,0,0,757,0
"Only for providers of hosting services, including online platforms",Discord,2024-02-17/2024-12-31,KEYWORD_OTHER,,,0,,0,,0,,0,,0
"Only for providers of hosting services, including online platforms",Discord,2024-02-17/2024-12-31,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Discord,2024-02-17/2024-12-31,KEYWORD_COPYRIGHT_INFRINGEMENT,,"3,252",0,"6,085",0,59,0,0,0,"6,085",0
"Only for providers of hosting services, including online platforms",Discord,2024-02-17/2024-12-31,KEYWORD_DESIGN_INFRINGEMENT,,,0,,0,,0,,0,,0
"Only for providers of hosting services, including online platforms",Discord,2024-02-17/2024-12-31,KEYWORD_GEOGRAPHIC_INDICATIONS_INFRINGEMENT,,,0,,0,,0,,0,,0
"Only for providers of hosting services, including online platforms",Discord,2024-02-17/2024-12-31,KEYWORD_PATENT_INFRINGEMENT,,,0,,0,,0,,0,,0
"Only for providers of hosting services, including online platforms",Discord,2024-02-17/2024-12-31,KEYWORD_TRADE_SECRET_INFRINGEMENT,,,0,,0,,0,,0,,0
"Only for providers of hosting services, including online platforms",Discord,2024-02-17/2024-12-31,KEYWORD_TRADEMARK_INFRINGEMENT,,,0,,0,,0,,0,,0
"Only for providers of hosting services, including online platforms",Discord,2024-02-17/2024-12-31,KEYWORD_OTHER,,,0,,0,,0,,0,,0
"Only for providers of hosting services, including online platforms",Discord,2024-02-17/2024-12-31,STATEMENT_CATEGORY_NEGATIVE_EFFECTS_ON_CIVIC_DISCOURSE_OR_ELECTIONS,,,,,,,,,,,
