Applicability,Service,Reporting period,Category of illegal content,"Description of Other

Note: In all cases for the actions reported in this sheet, Discord removed content on the basis that it is inconsistent with its Terms of Service.",Number of measures taken at the provider's own initiative ,Number of measures taken after detection solely using automated means ,"Visibility restriction Content Removal (# of removed messages or user profile attributes such as bio, avatar, username etc.)",Visibility restriction Disable,Visibility restriction Demoted,Visibility restriction Age restricted,Visibility restriction Interaction restricted,Visibility restriction Labelled ,Visibility restriction Other,Monetary restriction Suspension,Monetary restriction Termination,Monetary restriction Other,"Provision of the service Suspension 'limited_access','temp_ban'",Provision of the service Termination ('delete'),"Account restriction Suspension 'limited_access','temp_ban'",Account restriction Termination ('delete'),Contextual Information on Number of measures taken at provider's own intiative,Contextual Information on Visibility restriction Interaction restricted
All,Discord,2024-02-17/2024-12-31,TOTAL,,,,,,,,,,,,,,,,,,"The total number of measures taken include user ""Warnings"", which are assigned to user accounts for less severe violations of Discord's Terms and Conditions. See Discord's summary of [insert title] in the Qualitative portion of this Report.","The actions reported in this column include temporary limitations on a user's ability to join new servers, start new direct messages, or send new friend requests."
All,Discord,2024-02-17/2024-12-31,STATEMENT_CATEGORY_ANIMAL_WELFARE,,,,,,,,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_ANIMAL_HARM,,,,,,,,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_UNLAWFUL_SALE_ANIMALS,,,,,,,,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_OTHER,,,,,,,,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,,,,,,,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_INSUFFICIENT_INFORMATION_ON_TRADERS,,,,,,,,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_NONCOMPLIANCE_PRICING,,,,,,,,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_HIDDEN_ADVERTISEMENT,,,,,,,,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_MISLEADING_INFO_GOODS_SERVICES,,,,,,,,,,,,,,,,,,,
